timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663232012993,6065,Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,3732904,4071,3,3,null,0,3,899
1663232012995,5774,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,200,OK,Thread Group 1-1,text,true,,3637618,3548,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1221,0,899
1663232012995,1221,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-0,200,OK,Thread Group 1-1,text,true,,4400,537,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1221,0,899
1663232014219,174,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-1,200,OK,Thread Group 1-1,bin,true,,1674,599,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,174,0,0
1663232014221,3192,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-2,200,OK,Thread Group 1-1,text,true,,522300,609,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,884,0,550
1663232014221,1938,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-3,200,OK,Thread Group 1-1,text,true,,489143,599,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,851,0,535
1663232014223,3138,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-4,200,OK,Thread Group 1-1,text,true,,1160473,607,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,861,0,549
1663232014224,4545,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-5,200,OK,Thread Group 1-1,text,true,,1459628,597,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,870,0,557
1663232018775,291,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,200,OK,Thread Group 1-1,text,true,,95286,523,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,282,0,0
1663232014660,7471,Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,3732904,4071,3,3,null,0,2,471
1663232014661,7010,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,200,OK,Thread Group 1-2,text,true,,3637618,3548,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,777,0,471
1663232014661,777,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-0,200,OK,Thread Group 1-2,text,true,,4400,537,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,777,0,471
1663232015441,676,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-1,200,OK,Thread Group 1-2,bin,true,,1674,599,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,676,0,0
1663232015443,3071,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login-2,200,OK,Thread Group 1-2,text,true,,522300,609,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,1868,0,1539
